k,alpha,species,applied-region,Successes (# Pyroprints),Failures (# Pyroprints),NonDecisions (# Pyroprints),Total,Decision Accuracy(\%),Overall Accuracy(\%)
1,0.000,Opossum,16-23,4,2,0,6,66.667,66.667
1,0.000,Opossum,23-5,5,1,0,6,83.333,83.333
1,0.000,Cow,16-23,1574,215,0,1789,87.982,87.982
1,0.000,Cow,23-5,1566,213,0,1779,88.027,88.027
1,0.000,Deer Mouse,16-23,0,2,0,2,0.000,0.000
1,0.000,Deer Mouse,23-5,0,2,0,2,0.000,0.000
1,0.000,OVERALL,16-23,4256,2092,0,6348,67.045,67.045
1,0.000,OVERALL,23-5,4972,2638,0,7610,65.335,65.335
1,0.500,Chicken,16-23,22,18,0,40,55.000,55.000
1,0.500,Chicken,23-5,28,14,0,42,66.667,66.667
1,0.500,Sea Lion,16-23,1,1,0,2,50.000,50.000
1,0.500,Sea Lion,23-5,4,0,0,4,100.000,100.000
1,0.500,Hu and Cw,16-23,17,13,0,30,56.667,56.667
1,0.500,Hu and Cw,23-5,14,16,0,30,46.667,46.667
1,0.500,Sheep,16-23,79,25,0,104,75.962,75.962
1,0.500,Sheep,23-5,78,20,0,98,79.592,79.592
1,0.500,Hu and Dg,16-23,19,13,0,32,59.375,59.375
1,0.500,Hu and Dg,23-5,20,10,0,30,66.667,66.667
1,0.500,Common Loon,16-23,2,0,0,2,100.000,100.000
1,0.500,Common Loon,23-5,0,2,0,2,0.000,0.000
1,0.500,Red-Winged Blackbird,16-23,2,0,0,2,100.000,100.000
1,0.500,Red-Winged Blackbird,23-5,2,0,0,2,100.000,100.000
1,0.500,Cw,16-23,17,13,0,30,56.667,56.667
1,0.500,Cw,23-5,20,10,0,30,66.667,66.667
1,0.500,Cliff Sparrow,16-23,16,12,0,28,57.143,57.143
1,0.500,Cliff Sparrow,23-5,12,17,0,29,41.379,41.379
1,0.500,Pig,16-23,21,16,0,37,56.757,56.757
1,0.500,Pig,23-5,20,14,0,34,58.824,58.824
1,0.500,Barn Owl,16-23,0,0,0,0,NaN,NaN
1,0.500,Barn Owl,23-5,2,0,0,2,100.000,100.000
1,0.500,Wild Pig,16-23,6,11,0,17,35.294,35.294
1,0.500,Wild Pig,23-5,6,4,0,10,60.000,60.000
1,0.500,Pennington Creek Water,16-23,0,345,0,345,0.000,0.000
1,0.500,Pennington Creek Water,23-5,0,465,0,465,0.000,0.000
1,0.500,Guinni,16-23,0,0,0,0,NaN,NaN
1,0.500,Guinni,23-5,0,2,0,2,0.000,0.000
1,0.500,Racoon,16-23,2,0,0,2,100.000,100.000
1,0.500,Racoon,23-5,0,3,0,3,0.000,0.000
1,0.500,Hu,16-23,23,6,0,29,79.310,79.310
1,0.500,Hu,23-5,24,7,0,31,77.419,77.419
1,0.500,Cw and Dg,16-23,11,19,0,30,36.667,36.667
1,0.500,Cw and Dg,23-5,19,11,0,30,63.333,63.333
1,0.500,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000
1,0.500,Red Wind Blackbird,23-5,0,2,0,2,0.000,0.000
1,0.500,Tree Swallow,16-23,2,0,0,2,100.000,100.000
1,0.500,Tree Swallow,23-5,2,0,0,2,100.000,100.000
1,0.500,Turkey Vulture,16-23,0,2,0,2,0.000,0.000
1,0.500,Turkey Vulture,23-5,0,3,0,3,0.000,0.000
1,0.500,Dg,16-23,10,20,0,30,33.333,33.333
1,0.500,Dg,23-5,28,2,0,30,93.333,93.333
1,0.500,Western Kingbird,16-23,0,2,0,2,0.000,0.000
1,0.500,Western Kingbird,23-5,0,2,0,2,0.000,0.000
1,0.500,White Crowned Sparrow,16-23,13,2,0,15,86.667,86.667
1,0.500,White Crowned Sparrow,23-5,8,7,0,15,53.333,53.333
1,0.500,Eared Grebe,16-23,0,0,0,0,NaN,NaN
1,0.500,Eared Grebe,23-5,2,2,0,4,50.000,50.000
1,0.500,cougar,16-23,0,1,0,1,0.000,0.000
1,0.500,cougar,23-5,0,1,0,1,0.000,0.000
1,0.500,Ocean Water,16-23,0,0,0,0,NaN,NaN
1,0.500,Ocean Water,23-5,0,10,0,10,0.000,0.000
1,0.500,Red Tailed Hawk,16-23,2,0,0,2,100.000,100.000
1,0.500,Red Tailed Hawk,23-5,0,3,0,3,0.000,0.000
1,0.500,Dog,16-23,100,38,0,138,72.464,72.464
1,0.500,Dog,23-5,152,37,0,189,80.423,80.423
1,0.500,Human,16-23,1767,109,0,1876,94.190,94.190
1,0.500,Human,23-5,2246,81,0,2327,96.519,96.519
1,0.500,Wild Turkey,16-23,18,28,0,46,39.130,39.130
1,0.500,Wild Turkey,23-5,14,25,0,39,35.897,35.897
1,0.500,Clark Grebe,16-23,0,0,0,0,NaN,NaN
1,0.500,Clark Grebe,23-5,2,0,0,2,100.000,100.000
1,0.500,Seagull,16-23,0,0,0,0,NaN,NaN
1,0.500,Seagull,23-5,55,12,0,67,82.090,82.090
1,0.500,Surf Scoter,16-23,0,0,0,0,NaN,NaN
1,0.500,Surf Scoter,23-5,2,0,0,2,100.000,100.000
1,0.500,Pigeon,16-23,153,87,0,240,63.750,63.750
1,0.500,Pigeon,23-5,196,95,0,291,67.354,67.354
1,0.500,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000
1,0.500,Pacific Ocean Water,23-5,0,50,0,50,0.000,0.000
1,0.500,Cat,16-23,41,12,0,53,77.358,77.358
1,0.500,Cat,23-5,46,17,0,63,73.016,73.016
1,0.500,Horse,16-23,21,25,0,46,45.652,45.652
1,0.500,Horse,23-5,51,36,0,87,58.621,58.621
1,0.500,orangutan,16-23,0,1,0,1,0.000,0.000
1,0.500,orangutan,23-5,0,1,0,1,0.000,0.000
1,0.500,Bat,16-23,36,1,0,37,97.297,97.297
1,0.500,Bat,23-5,37,1,0,38,97.368,97.368
1,0.500,Deer,16-23,17,4,0,21,80.952,80.952
1,0.500,Deer,23-5,18,4,0,22,81.818,81.818
1,0.500,Great Horned Owl,16-23,0,3,0,3,0.000,0.000
1,0.500,Great Horned Owl,23-5,1,6,0,7,14.286,14.286
1,0.500,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN
1,0.500,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000
1,0.500,Unknown Avian,16-23,0,2,0,2,0.000,0.000
1,0.500,Unknown Avian,23-5,0,2,0,2,0.000,0.000
1,0.500,Human UTI,16-23,115,24,0,139,82.734,82.734
1,0.500,Human UTI,23-5,129,12,0,141,91.489,91.489
1,0.500,unknown,16-23,6,5,0,11,54.545,54.545
1,0.500,unknown,23-5,8,3,0,11,72.727,72.727
1,0.500,SLO Creek Water,16-23,0,876,0,876,0.000,0.000
1,0.500,SLO Creek Water,23-5,6,1326,0,1332,0.450,0.450
1,0.500,Pig/Swine,16-23,15,11,0,26,57.692,57.692
1,0.500,Pig/Swine,23-5,13,12,0,25,52.000,52.000
1,0.500,Klebsiella,16-23,0,0,0,0,NaN,NaN
1,0.500,Klebsiella,23-5,0,0,0,0,NaN,NaN
1,0.500,Hu Cw and Dg,16-23,10,20,0,30,33.333,33.333
1,0.500,Hu Cw and Dg,23-5,20,10,0,30,66.667,66.667
1,0.500,Ground Squirrel,16-23,114,60,0,174,65.517,65.517
1,0.500,Ground Squirrel,23-5,116,61,0,177,65.537,65.537
1,0.500,Opossum,16-23,4,2,0,6,66.667,66.667
1,0.500,Opossum,23-5,5,1,0,6,83.333,83.333
1,0.500,Cow,16-23,1574,215,0,1789,87.982,87.982
1,0.500,Cow,23-5,1566,213,0,1779,88.027,88.027
1,0.500,Deer Mouse,16-23,0,2,0,2,0.000,0.000
1,0.500,Deer Mouse,23-5,0,2,0,2,0.000,0.000
1,0.500,OVERALL,16-23,4256,2092,0,6348,67.045,67.045
1,0.500,OVERALL,23-5,4972,2638,0,7610,65.335,65.335
1,0.900,Chicken,16-23,22,18,0,40,55.000,55.000
1,0.900,Chicken,23-5,28,14,0,42,66.667,66.667
1,0.900,Sea Lion,16-23,1,1,0,2,50.000,50.000
1,0.900,Sea Lion,23-5,4,0,0,4,100.000,100.000
1,0.900,Hu and Cw,16-23,17,13,0,30,56.667,56.667
1,0.900,Hu and Cw,23-5,14,16,0,30,46.667,46.667
1,0.900,Sheep,16-23,79,25,0,104,75.962,75.962
1,0.900,Sheep,23-5,78,20,0,98,79.592,79.592
1,0.900,Hu and Dg,16-23,19,13,0,32,59.375,59.375
1,0.900,Hu and Dg,23-5,20,10,0,30,66.667,66.667
1,0.900,Common Loon,16-23,2,0,0,2,100.000,100.000
1,0.900,Common Loon,23-5,0,2,0,2,0.000,0.000
1,0.900,Red-Winged Blackbird,16-23,2,0,0,2,100.000,100.000
1,0.900,Red-Winged Blackbird,23-5,2,0,0,2,100.000,100.000
1,0.900,Cw,16-23,17,13,0,30,56.667,56.667
1,0.900,Cw,23-5,20,10,0,30,66.667,66.667
1,0.900,Cliff Sparrow,16-23,16,12,0,28,57.143,57.143
1,0.900,Cliff Sparrow,23-5,12,17,0,29,41.379,41.379
1,0.900,Pig,16-23,21,16,0,37,56.757,56.757
1,0.900,Pig,23-5,20,14,0,34,58.824,58.824
1,0.900,Barn Owl,16-23,0,0,0,0,NaN,NaN
1,0.900,Barn Owl,23-5,2,0,0,2,100.000,100.000
1,0.900,Wild Pig,16-23,6,11,0,17,35.294,35.294
1,0.900,Wild Pig,23-5,6,4,0,10,60.000,60.000
1,0.900,Pennington Creek Water,16-23,0,344,1,345,0.000,0.000
1,0.900,Pennington Creek Water,23-5,0,461,4,465,0.000,0.000
1,0.900,Guinni,16-23,0,0,0,0,NaN,NaN
1,0.900,Guinni,23-5,0,2,0,2,0.000,0.000
1,0.900,Racoon,16-23,2,0,0,2,100.000,100.000
1,0.900,Racoon,23-5,0,3,0,3,0.000,0.000
1,0.900,Hu,16-23,23,6,0,29,79.310,79.310
1,0.900,Hu,23-5,24,7,0,31,77.419,77.419
1,0.900,Cw and Dg,16-23,11,19,0,30,36.667,36.667
1,0.900,Cw and Dg,23-5,19,11,0,30,63.333,63.333
1,0.900,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000
1,0.900,Red Wind Blackbird,23-5,0,2,0,2,0.000,0.000
1,0.900,Tree Swallow,16-23,2,0,0,2,100.000,100.000
1,0.900,Tree Swallow,23-5,2,0,0,2,100.000,100.000
1,0.900,Turkey Vulture,16-23,0,2,0,2,0.000,0.000
1,0.900,Turkey Vulture,23-5,0,3,0,3,0.000,0.000
1,0.900,Dg,16-23,10,20,0,30,33.333,33.333
1,0.900,Dg,23-5,28,2,0,30,93.333,93.333
1,0.900,Western Kingbird,16-23,0,2,0,2,0.000,0.000
1,0.900,Western Kingbird,23-5,0,2,0,2,0.000,0.000
1,0.900,White Crowned Sparrow,16-23,13,2,0,15,86.667,86.667
1,0.900,White Crowned Sparrow,23-5,8,7,0,15,53.333,53.333
1,0.900,Eared Grebe,16-23,0,0,0,0,NaN,NaN
1,0.900,Eared Grebe,23-5,2,2,0,4,50.000,50.000
1,0.900,cougar,16-23,0,1,0,1,0.000,0.000
1,0.900,cougar,23-5,0,1,0,1,0.000,0.000
1,0.900,Ocean Water,16-23,0,0,0,0,NaN,NaN
1,0.900,Ocean Water,23-5,0,10,0,10,0.000,0.000
1,0.900,Red Tailed Hawk,16-23,2,0,0,2,100.000,100.000
1,0.900,Red Tailed Hawk,23-5,0,3,0,3,0.000,0.000
1,0.900,Dog,16-23,100,38,0,138,72.464,72.464
1,0.900,Dog,23-5,152,37,0,189,80.423,80.423
1,0.900,Human,16-23,1767,109,0,1876,94.190,94.190
1,0.900,Human,23-5,2246,81,0,2327,96.519,96.519
1,0.900,Wild Turkey,16-23,18,28,0,46,39.130,39.130
1,0.900,Wild Turkey,23-5,14,25,0,39,35.897,35.897
1,0.900,Clark Grebe,16-23,0,0,0,0,NaN,NaN
1,0.900,Clark Grebe,23-5,2,0,0,2,100.000,100.000
1,0.900,Seagull,16-23,0,0,0,0,NaN,NaN
1,0.900,Seagull,23-5,55,12,0,67,82.090,82.090
1,0.900,Surf Scoter,16-23,0,0,0,0,NaN,NaN
1,0.900,Surf Scoter,23-5,2,0,0,2,100.000,100.000
1,0.900,Pigeon,16-23,153,87,0,240,63.750,63.750
1,0.900,Pigeon,23-5,196,95,0,291,67.354,67.354
1,0.900,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000
1,0.900,Pacific Ocean Water,23-5,0,50,0,50,0.000,0.000
1,0.900,Cat,16-23,41,12,0,53,77.358,77.358
1,0.900,Cat,23-5,46,17,0,63,73.016,73.016
1,0.900,Horse,16-23,21,25,0,46,45.652,45.652
1,0.900,Horse,23-5,51,36,0,87,58.621,58.621
1,0.900,orangutan,16-23,0,1,0,1,0.000,0.000
1,0.900,orangutan,23-5,0,1,0,1,0.000,0.000
1,0.900,Bat,16-23,36,1,0,37,97.297,97.297
1,0.900,Bat,23-5,37,1,0,38,97.368,97.368
1,0.900,Deer,16-23,17,4,0,21,80.952,80.952
1,0.900,Deer,23-5,18,4,0,22,81.818,81.818
1,0.900,Great Horned Owl,16-23,0,3,0,3,0.000,0.000
1,0.900,Great Horned Owl,23-5,1,6,0,7,14.286,14.286
1,0.900,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN
1,0.900,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000
1,0.900,Unknown Avian,16-23,0,2,0,2,0.000,0.000
1,0.900,Unknown Avian,23-5,0,2,0,2,0.000,0.000
1,0.900,Human UTI,16-23,115,24,0,139,82.734,82.734
1,0.900,Human UTI,23-5,129,12,0,141,91.489,91.489
1,0.900,unknown,16-23,6,5,0,11,54.545,54.545
1,0.900,unknown,23-5,8,3,0,11,72.727,72.727
1,0.900,SLO Creek Water,16-23,0,873,3,876,0.000,0.000
1,0.900,SLO Creek Water,23-5,6,1322,4,1332,0.452,0.450
1,0.900,Pig/Swine,16-23,15,11,0,26,57.692,57.692
1,0.900,Pig/Swine,23-5,13,12,0,25,52.000,52.000
1,0.900,Klebsiella,16-23,0,0,0,0,NaN,NaN
1,0.900,Klebsiella,23-5,0,0,0,0,NaN,NaN
1,0.900,Hu Cw and Dg,16-23,10,20,0,30,33.333,33.333
1,0.900,Hu Cw and Dg,23-5,20,10,0,30,66.667,66.667
1,0.900,Ground Squirrel,16-23,114,60,0,174,65.517,65.517
1,0.900,Ground Squirrel,23-5,116,61,0,177,65.537,65.537
1,0.900,Opossum,16-23,4,2,0,6,66.667,66.667
1,0.900,Opossum,23-5,5,1,0,6,83.333,83.333
1,0.900,Cow,16-23,1574,215,0,1789,87.982,87.982
1,0.900,Cow,23-5,1566,213,0,1779,88.027,88.027
1,0.900,Deer Mouse,16-23,0,2,0,2,0.000,0.000
1,0.900,Deer Mouse,23-5,0,2,0,2,0.000,0.000
1,0.900,OVERALL,16-23,4256,2088,4,6348,67.087,67.045
1,0.900,OVERALL,23-5,4972,2630,8,7610,65.404,65.335
1,0.950,Chicken,16-23,22,18,0,40,55.000,55.000
1,0.950,Chicken,23-5,28,14,0,42,66.667,66.667
1,0.950,Sea Lion,16-23,1,1,0,2,50.000,50.000
1,0.950,Sea Lion,23-5,4,0,0,4,100.000,100.000
1,0.950,Hu and Cw,16-23,17,13,0,30,56.667,56.667
1,0.950,Hu and Cw,23-5,14,16,0,30,46.667,46.667
1,0.950,Sheep,16-23,79,25,0,104,75.962,75.962
1,0.950,Sheep,23-5,78,19,1,98,80.412,79.592
1,0.950,Hu and Dg,16-23,19,13,0,32,59.375,59.375
1,0.950,Hu and Dg,23-5,20,10,0,30,66.667,66.667
1,0.950,Common Loon,16-23,2,0,0,2,100.000,100.000
1,0.950,Common Loon,23-5,0,2,0,2,0.000,0.000
1,0.950,Red-Winged Blackbird,16-23,2,0,0,2,100.000,100.000
1,0.950,Red-Winged Blackbird,23-5,2,0,0,2,100.000,100.000
1,0.950,Cw,16-23,17,13,0,30,56.667,56.667
1,0.950,Cw,23-5,20,10,0,30,66.667,66.667
1,0.950,Cliff Sparrow,16-23,16,12,0,28,57.143,57.143
1,0.950,Cliff Sparrow,23-5,12,17,0,29,41.379,41.379
1,0.950,Pig,16-23,21,16,0,37,56.757,56.757
1,0.950,Pig,23-5,20,14,0,34,58.824,58.824
1,0.950,Barn Owl,16-23,0,0,0,0,NaN,NaN
1,0.950,Barn Owl,23-5,2,0,0,2,100.000,100.000
1,0.950,Wild Pig,16-23,6,11,0,17,35.294,35.294
1,0.950,Wild Pig,23-5,6,4,0,10,60.000,60.000
1,0.950,Pennington Creek Water,16-23,0,341,4,345,0.000,0.000
1,0.950,Pennington Creek Water,23-5,0,454,11,465,0.000,0.000
1,0.950,Guinni,16-23,0,0,0,0,NaN,NaN
1,0.950,Guinni,23-5,0,2,0,2,0.000,0.000
1,0.950,Racoon,16-23,2,0,0,2,100.000,100.000
1,0.950,Racoon,23-5,0,3,0,3,0.000,0.000
1,0.950,Hu,16-23,23,6,0,29,79.310,79.310
1,0.950,Hu,23-5,24,7,0,31,77.419,77.419
1,0.950,Cw and Dg,16-23,11,19,0,30,36.667,36.667
1,0.950,Cw and Dg,23-5,19,11,0,30,63.333,63.333
1,0.950,Red Wind Blackbird,16-23,0,2,0,2,0.000,0.000
1,0.950,Red Wind Blackbird,23-5,0,2,0,2,0.000,0.000
1,0.950,Tree Swallow,16-23,2,0,0,2,100.000,100.000
1,0.950,Tree Swallow,23-5,2,0,0,2,100.000,100.000
1,0.950,Turkey Vulture,16-23,0,2,0,2,0.000,0.000
1,0.950,Turkey Vulture,23-5,0,3,0,3,0.000,0.000
1,0.950,Dg,16-23,10,20,0,30,33.333,33.333
1,0.950,Dg,23-5,28,2,0,30,93.333,93.333
1,0.950,Western Kingbird,16-23,0,2,0,2,0.000,0.000
1,0.950,Western Kingbird,23-5,0,2,0,2,0.000,0.000
1,0.950,White Crowned Sparrow,16-23,13,2,0,15,86.667,86.667
1,0.950,White Crowned Sparrow,23-5,8,7,0,15,53.333,53.333
1,0.950,Eared Grebe,16-23,0,0,0,0,NaN,NaN
1,0.950,Eared Grebe,23-5,2,2,0,4,50.000,50.000
1,0.950,cougar,16-23,0,1,0,1,0.000,0.000
1,0.950,cougar,23-5,0,1,0,1,0.000,0.000
1,0.950,Ocean Water,16-23,0,0,0,0,NaN,NaN
1,0.950,Ocean Water,23-5,0,10,0,10,0.000,0.000
1,0.950,Red Tailed Hawk,16-23,2,0,0,2,100.000,100.000
1,0.950,Red Tailed Hawk,23-5,0,3,0,3,0.000,0.000
1,0.950,Dog,16-23,100,38,0,138,72.464,72.464
1,0.950,Dog,23-5,152,37,0,189,80.423,80.423
1,0.950,Human,16-23,1767,109,0,1876,94.190,94.190
1,0.950,Human,23-5,2246,81,0,2327,96.519,96.519
1,0.950,Wild Turkey,16-23,18,28,0,46,39.130,39.130
1,0.950,Wild Turkey,23-5,14,25,0,39,35.897,35.897
1,0.950,Clark Grebe,16-23,0,0,0,0,NaN,NaN
1,0.950,Clark Grebe,23-5,2,0,0,2,100.000,100.000
1,0.950,Seagull,16-23,0,0,0,0,NaN,NaN
1,0.950,Seagull,23-5,55,12,0,67,82.090,82.090
1,0.950,Surf Scoter,16-23,0,0,0,0,NaN,NaN
1,0.950,Surf Scoter,23-5,2,0,0,2,100.000,100.000
1,0.950,Pigeon,16-23,153,87,0,240,63.750,63.750
1,0.950,Pigeon,23-5,196,94,1,291,67.586,67.354
1,0.950,Pacific Ocean Water,16-23,0,46,0,46,0.000,0.000
1,0.950,Pacific Ocean Water,23-5,0,49,1,50,0.000,0.000
1,0.950,Cat,16-23,41,12,0,53,77.358,77.358
1,0.950,Cat,23-5,46,17,0,63,73.016,73.016
1,0.950,Horse,16-23,21,25,0,46,45.652,45.652
1,0.950,Horse,23-5,51,36,0,87,58.621,58.621
1,0.950,orangutan,16-23,0,1,0,1,0.000,0.000
1,0.950,orangutan,23-5,0,1,0,1,0.000,0.000
1,0.950,Bat,16-23,36,1,0,37,97.297,97.297
1,0.950,Bat,23-5,37,1,0,38,97.368,97.368
1,0.950,Deer,16-23,17,4,0,21,80.952,80.952
1,0.950,Deer,23-5,18,4,0,22,81.818,81.818
1,0.950,Great Horned Owl,16-23,0,3,0,3,0.000,0.000
1,0.950,Great Horned Owl,23-5,1,6,0,7,14.286,14.286
1,0.950,Freshwater Lagoon,16-23,0,0,0,0,NaN,NaN
1,0.950,Freshwater Lagoon,23-5,0,4,0,4,0.000,0.000
1,0.950,Unknown Avian,16-23,0,2,0,2,0.000,0.000
1,0.950,Unknown Avian,23-5,0,2,0,2,0.000,0.000
1,0.950,Human UTI,16-23,115,24,0,139,82.734,82.734
1,0.950,Human UTI,23-5,128,12,1,141,91.429,90.780
1,0.950,unknown,16-23,6,5,0,11,54.545,54.545
1,0.950,unknown,23-5,8,3,0,11,72.727,72.727
1,0.950,SLO Creek Water,16-23,0,860,16,876,0.000,0.000
1,0.950,SLO Creek Water,23-5,6,1322,4,1332,0.452,0.450
1,0.950,Pig/Swine,16-23,15,11,0,26,57.692,57.692
1,0.950,Pig/Swine,23-5,13,12,0,25,52.000,52.000
